id,title,label,filtered_words
R129,New Report on Election,REAL,morning southern drop step building campaign. top international economy choose. really section audience culture majority idea. experts discuss ongoing developments election.
R227,New Report on Climate Change,REAL,market easy star. different gas audience act car successful. experts discuss ongoing developments climate change.
F231,Aliens Confirmed by Sources,FAKE,able compare property indeed action company occur. run seat traditional. color improve feeling. — shocking claims aliens surface internet.
R066,New Report on Policy,REAL,call perform investment result health. box society end nice walk. experts discuss ongoing developments policy.
F095,Mind Control Confirmed by Sources,FAKE,manage begin officer. number practice simply positive force whatever behavior. — shocking claims mind control surface internet.
R174,New Report on Policy,REAL,true together drug. morning society sense everybody know admit them. bit probably act fall part notice. experts discuss ongoing developments policy.
R201,New Report on Public Health,REAL,test information sometimes pick figure rise. meeting common office practice new stuff. experts discuss ongoing developments public health.
R072,New Report on Education,REAL,table fact one even. quickly toward choose mean institution. experts discuss ongoing developments education.
R064,New Report on Research,REAL,south poor physical issue bag leg. point cover current difference assume manager ok computer. occur year well business. experts discuss ongoing developments research.
F037,Miracle Drug Confirmed by Sources,FAKE,others senior somebody save meet. country hospital technology member become. reflect number current night civil staff. — shocking claims miracle drug surface internet.
R170,New Report on Technology Breakthrough,REAL,mean get american son. add best arm item worry surface. experts discuss ongoing developments technology breakthrough.
F110,Celebrity Scandal Confirmed by Sources,FAKE,suffer painting include return since fast great worry. book explain. according society price necessary future edge others. — shocking claims celebrity scandal surface internet.
F048,Secret Cure Confirmed by Sources,FAKE,third cut series friend. able rate lead know late lead. capital performance ground action baby share. — shocking claims secret cure surface internet.
F082,Hoax Confirmed by Sources,FAKE,sister often last growth bad. someone billion president know. — shocking claims hoax surface internet.
F187,Miracle Drug Confirmed by Sources,FAKE,director economy join. house sound environmental of. probably cold open within. — shocking claims miracle drug surface internet.
F027,Miracle Drug Confirmed by Sources,FAKE,ball attention people mind property medical. long price pressure summer. hair career building list than. — shocking claims miracle drug surface internet.
F202,Hoax Confirmed by Sources,FAKE,mouth expect reality factor data skill. everything real plan. information quality trouble stuff during. budget page suffer ok father. — shocking claims hoax surface internet.
F197,Secret Cure Confirmed by Sources,FAKE,city message safe appear couple either election already. necessary south really avoid civil. — shocking claims secret cure surface internet.
R128,New Report on Climate Change,REAL,attorney tax watch challenge water note. article win popular green. experts discuss ongoing developments climate change.
F157,Government Cover-Up Confirmed by Sources,FAKE,accept war whose. prove minute charge other. one administration window thus. — shocking claims government cover-up surface internet.
F117,Hoax Confirmed by Sources,FAKE,increase size imagine as. — shocking claims hoax surface internet.
F173,Secret Cure Confirmed by Sources,FAKE,visit carry project around member reflect. artist statement floor. — shocking claims secret cure surface internet.
F024,Aliens Confirmed by Sources,FAKE,trade find agreement. image feel need suggest road. — shocking claims aliens surface internet.
F096,Celebrity Scandal Confirmed by Sources,FAKE,south part positive give full wall event white. foreign short open to. body explain need. — shocking claims celebrity scandal surface internet.
R247,New Report on Public Health,REAL,even issue party former police trip. us father provide board goal ago want themselves. specific relationship morning woman buy. experts discuss ongoing developments public health.
F226,Government Cover-Up Confirmed by Sources,FAKE,several evening indicate writer share message project. thing right budget teacher watch. — shocking claims government cover-up surface internet.
F100,Flat Earth Confirmed by Sources,FAKE,measure teach manage civil. box window good. mr watch much since race trade. — shocking claims flat earth surface internet.
F246,Government Cover-Up Confirmed by Sources,FAKE,defense everybody allow. ten program follow collection why. — shocking claims government cover-up surface internet.
F183,Aliens Confirmed by Sources,FAKE,image hit character level drop station computer. note group hit doctor share control fear. — shocking claims aliens surface internet.
R063,New Report on Policy,REAL,majority air network. left side thing throughout back goal lose east. accept task action certainly report model. experts discuss ongoing developments policy.
R005,New Report on Election,REAL,carry along democratic field card. west structure her. account notice live according top. experts discuss ongoing developments election.
R084,New Report on Election,REAL,still tend drug see represent. pick single go serious. experts discuss ongoing developments election.
R124,New Report on Education,REAL,final goal fill. science red throughout truth report issue nothing. former wear win. experts discuss ongoing developments education.
